"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Skarner",52.16,1994,2.85,158.7,10635,"Diamond","Jungle"
"Aurelion Sol",52.08,2481,2.56,178.75,11309,"Diamond","Mid"
"Vayne",52.02,33647,2.12,190.51,12117,"Diamond","Bot"
"Singed",52.02,7387,2.14,174.41,10828,"Diamond","Top"
"Diana",52,30638,2.49,185.14,12304,"Diamond","Jungle"
"Cassiopeia",51.98,11962,2.04,199.9,11915,"Diamond","Mid"
"Urgot",51.97,8691,1.87,204.69,12488,"Diamond","Top"
"Heimerdinger",51.91,3084,1.99,162.56,11180,"Diamond","Mid"
"Taliyah",51.86,3683,2.68,144.79,11521,"Diamond","Jungle"
"Vi",51.81,6487,2.55,160.62,11506,"Diamond","Jungle"
"Kled",51.8,4629,2.3,167.14,11597,"Diamond","Top"
"Tryndamere",51.79,15257,1.88,213.75,12858,"Diamond","Top"
"Qiyana",51.78,21026,2.29,166.81,12142,"Diamond","Mid"
"Veigar",51.73,30849,2.35,190.4,11907,"Diamond","Mid"
"Trundle",51.72,10882,2.28,165.94,11442,"Diamond","Jungle"
"Bard",51.54,12176,3.23,22.35,8262,"Diamond","Support"
"Akshan",51.53,17907,2.09,184.98,12568,"Diamond","Mid"
"Zyra",51.5,6847,2.12,53.7,9293,"Diamond","Support"
"Pantheon",51.45,5118,2.04,123.37,10855,"Diamond","Support"
"Nunu et Willump",51.44,13062,2.99,139.77,10388,"Diamond","Jungle"
"Kayn",51.42,19584,2.48,179.75,12491,"Diamond","Jungle"
"Dr. Mundo",51.4,5477,2.17,190.97,11331,"Diamond","Top"
"Rell",51.4,3438,2.46,32.8,7646,"Diamond","Support"
"Tristana",51.37,12996,2.39,197.84,12569,"Diamond","Bot"
"Elise",51.33,5833,2.67,132.94,10889,"Diamond","Jungle"
"Jhin",51.32,52512,3.04,194.66,12138,"Diamond","Bot"
"Katarina",51.31,13803,2.43,166.58,12109,"Diamond","Mid"
"Xin Zhao",51.24,20705,2.45,155.92,11236,"Diamond","Jungle"
"Warwick",51.22,6416,2.16,151.78,11218,"Diamond","Jungle"
"Kog'Maw",51.21,4476,2.16,196.33,12417,"Diamond","Bot"
"Rumble",51.15,3574,2.52,173.72,11642,"Diamond","Top"
"Lissandra",51.14,6267,2.39,179.51,11108,"Diamond","Mid"
"Ziggs",51.13,4917,2.47,202.05,12030,"Diamond","Mid"
"Fiora",51.12,15566,1.72,188.86,11875,"Diamond","Top"
"Zilean",51.11,20574,3.27,70.84,8480,"Diamond","Support"
"Twitch",51.1,22037,2.32,163.3,12232,"Diamond","Bot"
"Ekko",51.1,20869,2.66,178.29,12085,"Diamond","Mid"
"Kassadin",51.09,12856,2.49,186.16,11844,"Diamond","Mid"
"Maître Yi",51.09,8600,2.13,167.45,12484,"Diamond","Jungle"
"Jinx",51.07,61297,2.41,204.84,12145,"Diamond","Bot"
"Kayle",51.07,10353,1.91,219.54,12314,"Diamond","Top"
"Annie",51,3802,2.32,155.1,10855,"Diamond","Mid"
"Zac",50.99,14243,3.46,143.7,10539,"Diamond","Jungle"
"Talon",50.99,7521,2.35,183.46,12616,"Diamond","Mid"
"Braum",50.96,4580,2.96,33.43,7610,"Diamond","Support"
"Kindred",50.85,7798,2.35,171.55,12314,"Diamond","Jungle"
"Cho'Gath",50.83,5825,2.11,184.85,11309,"Diamond","Top"
"Lulu",50.8,30175,3.18,18.77,7666,"Diamond","Support"
"Aatrox",50.8,15171,1.95,180.4,11353,"Diamond","Top"
"Zoé",50.77,7321,2.64,160.77,11029,"Diamond","Mid"
"Vladimir",50.73,12368,2.46,198.8,11688,"Diamond","Mid"
"Maokai",50.73,2823,2.11,55.52,8517,"Diamond","Support"
"Sejuani",50.68,5337,3.24,151.72,10685,"Diamond","Jungle"
"Zed",50.65,19183,2.36,180.92,12250,"Diamond","Mid"
"Darius",50.63,15414,1.86,195.15,11990,"Diamond","Top"
"Nami",50.58,26841,3.23,13.28,8044,"Diamond","Support"
"Taric",50.52,2484,2.85,42.34,7744,"Diamond","Support"
"Kai'Sa",50.49,29484,2.49,204.04,12550,"Diamond","Bot"
"Sylas",50.45,18515,2.14,155.23,11104,"Diamond","Mid"
"Volibear",50.45,11967,2.34,163.86,11232,"Diamond","Jungle"
"Hecarim",50.44,21842,3.06,171.65,11852,"Diamond","Jungle"
"Xayah",50.43,8454,2.37,207.31,12404,"Diamond","Bot"
"Ivern",50.42,4415,3.53,113.68,8971,"Diamond","Jungle"
"Shaco",50.4,11567,2.78,141.47,11568,"Diamond","Jungle"
"Mordekaiser",50.39,7293,1.81,185.59,11562,"Diamond","Top"
"Sivir",50.37,3931,2.45,220.17,12486,"Diamond","Bot"
"Kalista",50.35,3021,2.24,201.92,12795,"Diamond","Bot"
"Evelynn",50.3,7080,3.12,152.12,11825,"Diamond","Jungle"
"Amumu",50.25,4026,2.48,136.77,10357,"Diamond","Jungle"
"Camille",50.22,18238,1.91,175.99,11449,"Diamond","Top"
"Wukong",50.18,6038,2.11,172.84,11582,"Diamond","Top"
"Graves",50.11,22379,2.22,206.84,12506,"Diamond","Jungle"
"Yasuo",50.1,24270,1.76,208.29,12296,"Diamond","Mid"
"Pyke",50.1,23349,2.25,46.36,11046,"Diamond","Support"
"Malphite",50.1,9280,2.37,155.67,10079,"Diamond","Top"
"Nidalee",50.1,7539,2.98,159.14,11595,"Diamond","Jungle"
"Irelia",50.05,18396,1.64,220.85,12793,"Diamond","Top"
"Yorick",49.96,4027,1.44,209.12,12026,"Diamond","Top"
"Yone",49.95,23638,1.76,205.89,12322,"Diamond","Mid"
"Ornn",49.88,9639,2.39,171.16,10247,"Diamond","Top"
"Rakan",49.83,13746,3.04,34.05,7663,"Diamond","Support"
"Gwen",49.73,23972,2.04,192.38,12038,"Diamond","Top"
"Swain",49.71,3607,2.42,91.98,10094,"Diamond","Support"
"Gnar",49.64,8387,1.84,188.24,11348,"Diamond","Top"
"Séraphine",49.6,8779,2.76,117.15,9692,"Diamond","Support"
"Alistar",49.59,5656,2.54,33.45,7510,"Diamond","Support"
"Nasus",49.58,6262,1.88,181.68,11302,"Diamond","Top"
"Jax",49.54,12122,1.55,189.3,11888,"Diamond","Top"
"Poppy",49.51,7991,2.45,144.1,10431,"Diamond","Jungle"
"Vel'Koz",49.51,7108,2.42,137.69,10677,"Diamond","Mid"
"Sett",49.49,13627,1.73,169.66,11345,"Diamond","Top"
"Miss Fortune",49.49,6644,2.27,194.68,12360,"Diamond","Bot"
"Leona",49.48,13475,2.38,34.59,7575,"Diamond","Support"
"Xerath",49.47,18375,2.86,122.64,10951,"Diamond","Mid"
"Viktor",49.45,24689,2.2,201.91,11887,"Diamond","Mid"
"Nautilus",49.44,15228,2.33,36.47,7630,"Diamond","Support"
"Vex",49.39,15182,2.42,159.58,11003,"Diamond","Mid"
"Sion",49.32,13103,1.44,202.13,11736,"Diamond","Top"
"Udyr",49.3,3698,2.76,188.6,11847,"Diamond","Jungle"
"Galio",49.26,4655,2.7,117.77,9393,"Diamond","Support"
"Lux",49.21,23101,2.72,97.48,10045,"Diamond","Mid"
"Akali",49.11,22616,2.27,168.96,11408,"Diamond","Mid"
"Ashe",49.11,7646,2.32,170.3,11099,"Diamond","Bot"
"Twisted Fate",49.05,7401,2.3,160.12,11127,"Diamond","Mid"
"Morgana",48.99,8482,2.58,42.16,8687,"Diamond","Support"
"Karma",48.98,28545,2.84,42.61,8344,"Diamond","Support"
"Malzahar",48.94,6692,2.1,202.23,11519,"Diamond","Mid"
"Viego",48.92,31320,2.48,163.06,11844,"Diamond","Jungle"
"Draven",48.88,16510,1.98,197.69,13257,"Diamond","Bot"
"Karthus",48.76,10641,2.24,201.18,12924,"Diamond","Jungle"
"Orianna",48.69,8226,2.62,192.76,11161,"Diamond","Mid"
"Caitlyn",48.67,25903,2.27,198.14,12133,"Diamond","Bot"
"Kennen",48.66,3138,2,176.82,11044,"Diamond","Top"
"Neeko",48.66,2834,2.07,148.14,10763,"Diamond","Mid"
"Yuumi",48.65,22900,4.19,6.38,7666,"Diamond","Support"
"Jarvan IV",48.64,14339,3.2,146.7,11130,"Diamond","Jungle"
"Lucian",48.5,12791,2.16,203.47,12430,"Diamond","Bot"
"Gragas",48.48,11622,2.35,154,10263,"Diamond","Top"
"Illaoi",48.39,2075,1.31,215.64,12277,"Diamond","Top"
"Shyvana",48.35,3907,2.45,196.29,12118,"Diamond","Jungle"
"Ezreal",48.32,36371,2.31,194.67,12216,"Diamond","Bot"
"Olaf",48.26,3711,2.22,173.94,11773,"Diamond","Jungle"
"LeBlanc",48.17,9136,2.8,154.24,11011,"Diamond","Mid"
"Renekton",48.14,9208,1.84,198.39,11859,"Diamond","Top"
"Samira",48.1,10367,2.16,190.55,12593,"Diamond","Bot"
"Thresh",48.05,22538,2.6,33.95,7595,"Diamond","Support"
"Azir",48.03,2942,2.14,191.6,11485,"Diamond","Mid"
"Lillia",47.91,5266,2.64,188.71,11974,"Diamond","Jungle"
"Gangplank",47.84,12446,1.99,210.87,13658,"Diamond","Top"
"Brand",47.8,8828,1.76,82.87,10155,"Diamond","Support"
"Syndra",47.69,8251,2.18,191.2,11445,"Diamond","Mid"
"Lee Sin",47.67,32397,2.75,149.54,11360,"Diamond","Jungle"
"Jayce",47.54,11970,1.74,200.01,12323,"Diamond","Top"
"Teemo",47.47,5119,1.66,192.59,11952,"Diamond","Top"
"Corki",47.31,12079,2.1,208.81,12766,"Diamond","Mid"
"Varus",46.33,4185,2.27,194.6,12162,"Diamond","Bot"
"Aphelios",46.07,18348,2,194.99,11891,"Diamond","Bot"
"Ryze",45.68,7255,2.17,213.26,11615,"Diamond","Mid"
"Pantheon",58.08,897,2.19,127.99,10658,"Master","Support"
"Rek'Sai",57.54,2671,2.7,148.8,11495,"Master","Jungle"
"Janna",57.14,5975,3.45,15.77,7400,"Master","Support"
"Zyra",57.13,989,2.39,42.22,8659,"Master","Support"
"Fiddlesticks",57.06,892,2.88,154.98,10871,"Master","Jungle"
"Illaoi",56.97,674,1.36,225.24,12317,"Master","Top"
"Zeri",56.5,9154,2.54,201.94,12350,"Master","Bot"
"Rell",56.43,824,2.71,31.21,7427,"Master","Support"
"Anivia",56.14,1637,2.62,176.23,11103,"Master","Mid"
"Cassiopeia",55.88,2740,2.03,195.76,11597,"Master","Mid"
"Kha'Zix",55.82,4631,2.86,161.6,11932,"Master","Jungle"
"Ahri",55.78,5884,2.84,181.87,11338,"Master","Mid"
"Bard",55.78,2976,3.32,21.09,7983,"Master","Support"
"Soraka",55.64,3357,2.97,32.16,7377,"Master","Support"
"Elise",55.56,1206,2.79,129.02,10654,"Master","Jungle"
"Qiyana",55.48,4178,2.43,165.82,11918,"Master","Mid"
"Kindred",55.48,2601,2.48,167.07,11983,"Master","Jungle"
"Kled",55.45,725,2.19,174.52,11509,"Master","Top"
"Annie",55.41,453,2.47,155.28,10633,"Master","Mid"
"Ziggs",55.23,1329,2.64,208.55,12021,"Master","Mid"
"Evelynn",55.09,1445,3.4,153.8,11743,"Master","Jungle"
"Riven",55.02,3755,2.08,193.61,11651,"Master","Top"
"Lulu",55,6274,3.34,19.02,7628,"Master","Support"
"Tryndamere",54.97,3449,2,212.87,12638,"Master","Top"
"Neeko",54.94,526,2.3,151.19,10856,"Master","Mid"
"Xayah",54.92,1535,2.53,207.43,12124,"Master","Bot"
"Zac",54.88,1997,3.46,136.3,10174,"Master","Jungle"
"Ekko",54.85,3105,2.71,179.57,11939,"Master","Mid"
"Brand",54.82,1173,1.93,91.08,9965,"Master","Support"
"Quinn",54.81,1018,2,173.48,11905,"Master","Top"
"Kassadin",54.8,2179,2.65,186.29,11570,"Master","Mid"
"Singed",54.75,1894,2.54,164.59,10220,"Master","Top"
"Xin Zhao",54.73,5485,2.58,153.71,10991,"Master","Jungle"
"Amumu",54.7,351,2.51,123.32,9652,"Master","Jungle"
"Garen",54.66,1471,2.11,202.54,12042,"Master","Top"
"Blitzcrank",54.65,2838,2.58,31.32,7470,"Master","Support"
"Sona",54.51,1820,3.06,17.14,7682,"Master","Support"
"Shen",54.49,2314,3.07,144.82,9467,"Master","Top"
"Zoé",54.48,1898,2.77,163.87,10879,"Master","Mid"
"Vel'Koz",54.45,911,2.46,129.86,10189,"Master","Mid"
"Talon",54.44,1927,2.31,184.34,12351,"Master","Mid"
"Sylas",54.34,3844,2.21,157.21,10910,"Master","Mid"
"Twitch",54.32,3805,2.41,168.19,12072,"Master","Bot"
"Kayle",54.31,1646,1.97,217.79,12178,"Master","Top"
"Vayne",54.27,5327,2.1,188.71,11779,"Master","Bot"
"Urgot",54.23,1833,1.95,199.39,12169,"Master","Top"
"Rengar",54.21,2341,2.45,166.24,12266,"Master","Jungle"
"Kayn",54.2,3087,2.63,179.3,12418,"Master","Jungle"
"Maokai",54.1,451,2.23,38.15,8200,"Master","Support"
"Trundle",54.09,1453,2.52,152.95,10881,"Master","Jungle"
"Senna",54.07,5608,2.91,57.13,9891,"Master","Support"
"Sejuani",54.05,729,3.33,157.27,10833,"Master","Jungle"
"Fiora",54.03,3737,1.76,187.05,11550,"Master","Top"
"Olaf",54.03,670,2.4,169.03,11587,"Master","Jungle"
"Nidalee",53.94,2718,3.41,162.35,11582,"Master","Jungle"
"Aurelion Sol",53.94,723,2.81,169.34,10556,"Master","Mid"
"Vex",53.87,2777,2.49,159.59,10760,"Master","Mid"
"Akshan",53.76,4033,2.15,184.25,12206,"Master","Mid"
"Diana",53.74,5834,2.65,183.47,12090,"Master","Jungle"
"Jinx",53.72,14122,2.48,206.13,11979,"Master","Bot"
"Darius",53.62,2557,1.92,192.05,11616,"Master","Top"
"Tahm Kench",53.62,1050,2.55,87.42,8413,"Master","Top"
"Veigar",53.55,6306,2.41,193.41,11650,"Master","Mid"
"Ashe",53.52,1164,2.41,176.48,10926,"Master","Bot"
"Kog'Maw",53.5,957,2.18,201.36,12261,"Master","Bot"
"Tristana",53.49,2653,2.54,202.61,12529,"Master","Bot"
"Malphite",53.46,1661,2.35,153.25,9719,"Master","Top"
"Miss Fortune",53.46,838,2.37,196.71,12054,"Master","Bot"
"Rumble",53.44,1441,2.53,164.91,11444,"Master","Top"
"Katarina",53.38,2458,2.63,164.19,11757,"Master","Mid"
"Nunu et Willump",53.38,2098,3.07,139.45,10297,"Master","Jungle"
"Twisted Fate",53.36,1769,2.58,163.6,10968,"Master","Mid"
"Kalista",53.33,765,2.22,200.66,12421,"Master","Bot"
"Maître Yi",53.32,1399,2.3,165.45,12256,"Master","Jungle"
"Heimerdinger",53.3,893,1.88,163.28,10728,"Master","Mid"
"Fizz",53.28,1389,2.58,169,11291,"Master","Mid"
"Pyke",53.27,5650,2.35,44.16,10624,"Master","Support"
"Rakan",53.25,3923,3.27,31.15,7467,"Master","Support"
"Hecarim",53.23,4385,3.16,170.38,11686,"Master","Jungle"
"Jhin",53.22,11949,3.13,195.81,11830,"Master","Bot"
"Orianna",53.19,1694,2.81,198.57,11211,"Master","Mid"
"Wukong",53.15,1016,2.14,159.86,11047,"Master","Top"
"Vi",53.12,625,2.54,159.8,11375,"Master","Jungle"
"Yorick",53.11,563,1.49,202.85,11492,"Master","Top"
"Malzahar",53.04,873,2.13,199.29,11198,"Master","Mid"
"Taric",52.94,374,3.56,44.46,7512,"Master","Support"
"Volibear",52.92,2279,2.49,155.16,10698,"Master","Jungle"
"Irelia",52.89,4103,1.59,216.12,12247,"Master","Top"
"Jax",52.84,2655,1.62,187.57,11541,"Master","Top"
"Zed",52.83,3462,2.47,181.44,12104,"Master","Mid"
"Kai'Sa",52.82,4718,2.58,205.23,12405,"Master","Bot"
"Lissandra",52.76,1016,2.4,178.22,10816,"Master","Mid"
"Kennen",52.64,889,2.1,176.32,11058,"Master","Top"
"Camille",52.62,4278,1.9,174.25,11096,"Master","Top"
"Shaco",52.54,2918,3.01,145.14,11425,"Master","Jungle"
"Ivern",52.52,933,3.76,111.24,8781,"Master","Jungle"
"Gwen",52.44,6777,2.11,190.15,11753,"Master","Top"
"Leona",52.35,3087,2.38,32.71,7235,"Master","Support"
"Draven",52.31,3399,2.09,196.62,12956,"Master","Bot"
"Nautilus",52.29,3647,2.32,33.58,7311,"Master","Support"
"Dr. Mundo",52.16,763,2.1,187.61,11037,"Master","Top"
"Galio",52.15,838,2.74,111.02,9014,"Master","Support"
"Jarvan IV",52.14,2735,3.33,140.84,10783,"Master","Jungle"
"Yuumi",52.12,4152,4.4,6.62,7600,"Master","Support"
"Gragas",52.1,2624,2.37,151.43,9938,"Master","Top"
"Ornn",52.07,1911,2.34,167.65,9837,"Master","Top"
"Karma",52,8114,2.92,40.57,8150,"Master","Support"
"Morgana",51.97,1064,2.8,48.95,8564,"Master","Support"
"Lillia",51.95,922,2.84,189.86,11824,"Master","Jungle"
"Yasuo",51.93,4664,1.84,205.95,11955,"Master","Mid"
"Nami",51.92,4143,3.38,13,7921,"Master","Support"
"Alistar",51.87,1334,2.68,31.43,7275,"Master","Support"
"Skarner",51.87,241,2.89,146.4,10140,"Master","Jungle"
"Yone",51.84,4695,1.82,205.27,11954,"Master","Mid"
"Sion",51.81,1683,1.5,200.37,11348,"Master","Top"
"Rammus",51.81,608,2.86,120.78,9635,"Master","Jungle"
"Lee Sin",51.76,8211,2.97,148.46,11261,"Master","Jungle"
"Lux",51.76,3514,2.82,97.8,9868,"Master","Mid"
"Mordekaiser",51.71,847,1.78,177.31,10893,"Master","Top"
"Graves",51.68,6596,2.21,207.93,12178,"Master","Jungle"
"Gnar",51.66,1928,1.81,188.67,11049,"Master","Top"
"Teemo",51.66,631,1.72,191.93,11625,"Master","Top"
"Akali",51.61,4980,2.3,171.04,11124,"Master","Mid"
"Aatrox",51.59,3960,1.94,178.73,10958,"Master","Top"
"Viego",51.56,7385,2.59,159.83,11536,"Master","Jungle"
"Udyr",51.55,838,2.91,182.75,11541,"Master","Jungle"
"Syndra",51.4,2150,2.25,189.49,11098,"Master","Mid"
"Séraphine",51.33,2098,2.88,142.4,9942,"Master","Support"
"Vladimir",51.32,2804,2.43,198.17,11336,"Master","Mid"
"Zilean",51.27,4250,3.3,73.98,8267,"Master","Support"
"Karthus",51.26,2848,2.28,197.21,12495,"Master","Jungle"
"Gangplank",51.17,1974,2.03,208.1,13184,"Master","Top"
"Shyvana",51,647,2.48,200.91,12010,"Master","Jungle"
"Lucian",50.93,2211,2.2,203.07,12154,"Master","Bot"
"Renekton",50.86,2552,1.87,195.11,11444,"Master","Top"
"Warwick",50.85,531,1.82,153.5,10776,"Master","Jungle"
"Ezreal",50.82,7253,2.33,194.7,11803,"Master","Bot"
"Poppy",50.75,1535,2.48,144.49,10150,"Master","Jungle"
"Jayce",50.74,4275,1.77,202.85,12201,"Master","Top"
"Sett",50.6,2751,1.78,164.52,10924,"Master","Top"
"LeBlanc",50.52,2201,3.1,152.56,10745,"Master","Mid"
"Braum",50.38,919,2.82,33.09,7344,"Master","Support"
"Cho'Gath",50.31,972,2.12,186.2,10967,"Master","Top"
"Swain",50.25,394,2.4,119.01,10052,"Master","Support"
"Thresh",50.21,5258,2.74,32.55,7347,"Master","Support"
"Caitlyn",50.2,3974,2.29,198.94,11904,"Master","Bot"
"Xerath",50.11,2782,2.99,131.9,10829,"Master","Mid"
"Viktor",49.99,5417,2.17,202.07,11533,"Master","Mid"
"Nasus",49.87,762,1.89,182.76,11066,"Master","Top"
"Taliyah",49.42,692,2.49,138.49,11345,"Master","Jungle"
"Sivir",49.06,691,2.42,217.16,11987,"Master","Bot"
"Corki",49.04,2184,2.17,211.74,12582,"Master","Mid"
"Azir",48.87,663,2.13,193.39,11388,"Master","Mid"
"Ryze",48.5,2596,2.34,212.3,11408,"Master","Mid"
"Samira",48.16,1578,2.13,189.85,12281,"Master","Bot"
"Varus",47.89,1163,2.27,195.58,11784,"Master","Bot"
"Aphelios",47.8,5538,2.03,196.01,11716,"Master","Bot"
"Kled",60.36,111,2.03,171.05,11560,"Grandmaster","Top"
"Elise",60,110,2.65,108.06,10277,"Grandmaster","Jungle"
"Rek'Sai",58.83,583,2.75,149.46,11572,"Grandmaster","Jungle"
"Amumu",58.82,17,2.22,97.76,8583,"Grandmaster","Jungle"
"Kennen",58.41,339,2.08,167.82,10567,"Grandmaster","Top"
"Skarner",58.33,12,3.44,149.42,10260,"Grandmaster","Jungle"
"Ahri",58.27,1251,2.9,185.73,11281,"Grandmaster","Mid"
"Tahm Kench",58.13,332,2.8,52.77,7627,"Grandmaster","Top"
"Maokai",57.98,119,2.2,34.65,8151,"Grandmaster","Support"
"Xayah",57.61,276,2.49,212.67,12205,"Grandmaster","Bot"
"Vel'Koz",57.55,139,2.83,118.86,10262,"Grandmaster","Mid"
"Shen",57.19,292,3.03,140.27,8934,"Grandmaster","Top"
"Aurelion Sol",57.14,98,2.8,173.46,10680,"Grandmaster","Mid"
"Sejuani",56.96,79,3.51,146.06,10196,"Grandmaster","Jungle"
"Anivia",56.82,88,2.81,186.36,10939,"Grandmaster","Mid"
"Brand",56.39,266,1.95,93.15,10240,"Grandmaster","Support"
"Taliyah",56.38,94,2.62,149.61,10901,"Grandmaster","Jungle"
"Nunu et Willump",56.36,236,3.19,133.31,9757,"Grandmaster","Jungle"
"Rell",55.78,199,2.74,30.81,7412,"Grandmaster","Support"
"Annie",55.77,52,2.44,150.88,10331,"Grandmaster","Mid"
"Quinn",55.7,228,1.98,188.92,11878,"Grandmaster","Top"
"Kha'Zix",55.52,951,3.11,164.2,12043,"Grandmaster","Jungle"
"Lissandra",55.46,238,2.72,197.12,11391,"Grandmaster","Mid"
"Veigar",55.44,1434,2.4,193.44,11517,"Grandmaster","Mid"
"Talon",55.3,302,2.45,176.44,12116,"Grandmaster","Mid"
"Janna",55.28,1476,3.26,15.93,7273,"Grandmaster","Support"
"Ornn",55.27,512,2.51,168.67,9702,"Grandmaster","Top"
"Poppy",55.09,285,2.42,148.44,9904,"Grandmaster","Jungle"
"Azir",55.08,187,2.14,211.53,12318,"Grandmaster","Mid"
"Dr. Mundo",54.87,113,2.19,183.13,10549,"Grandmaster","Top"
"Katarina",54.79,365,2.68,157.17,11552,"Grandmaster","Mid"
"Zac",54.77,241,3.49,140.06,10285,"Grandmaster","Jungle"
"Yone",54.74,718,1.9,203.32,11644,"Grandmaster","Mid"
"Kayn",54.73,782,2.66,177.12,12214,"Grandmaster","Jungle"
"Qiyana",54.56,933,2.36,166.54,11499,"Grandmaster","Mid"
"Garen",54.5,189,2.08,197.2,11465,"Grandmaster","Top"
"Thresh",54.45,1201,2.81,31.82,7221,"Grandmaster","Support"
"Galio",54.39,239,3.03,113.29,9059,"Grandmaster","Support"
"Vi",54.35,46,2.69,159.83,11690,"Grandmaster","Jungle"
"Kindred",54.27,433,2.34,154.91,11472,"Grandmaster","Jungle"
"Bard",54.19,620,3.19,20.82,7947,"Grandmaster","Support"
"Vayne",54.06,727,2.03,184.35,11246,"Grandmaster","Bot"
"Ziggs",53.98,289,2.56,203.41,11628,"Grandmaster","Mid"
"Teemo",53.97,63,1.69,184.94,10912,"Grandmaster","Top"
"Kassadin",53.93,369,2.61,186.01,11463,"Grandmaster","Mid"
"Tristana",53.9,564,2.53,203.59,12323,"Grandmaster","Bot"
"Rengar",53.88,232,2.4,161.7,12115,"Grandmaster","Jungle"
"Vex",53.83,745,2.46,166.97,10710,"Grandmaster","Mid"
"Zilean",53.71,877,3.32,77.76,8143,"Grandmaster","Support"
"Zoé",53.56,435,2.73,168.73,10716,"Grandmaster","Mid"
"Trundle",53.44,247,2.64,148.99,10847,"Grandmaster","Jungle"
"Diana",53.4,1161,2.8,179.29,11869,"Grandmaster","Jungle"
"Alistar",53.4,206,2.78,29.51,7297,"Grandmaster","Support"
"Zeri",53.23,1860,2.49,200.34,11944,"Grandmaster","Bot"
"Gwen",53.23,1488,2.24,190.37,11676,"Grandmaster","Top"
"Draven",53.17,521,2.05,194.51,12811,"Grandmaster","Bot"
"Soraka",53.14,542,2.88,56.18,7488,"Grandmaster","Support"
"Orianna",53.1,339,2.63,206.89,11159,"Grandmaster","Mid"
"Wukong",53.1,145,1.88,158.94,10250,"Grandmaster","Top"
"Yasuo",53.07,976,1.85,201.3,11681,"Grandmaster","Mid"
"Heimerdinger",53.06,98,2.19,97.34,9903,"Grandmaster","Mid"
"Senna",53.05,1231,2.92,62.28,9912,"Grandmaster","Support"
"Rakan",53,868,3.16,29.03,7370,"Grandmaster","Support"
"Fiora",52.92,737,1.73,187.4,11409,"Grandmaster","Top"
"Rumble",52.89,450,2.64,160.29,11003,"Grandmaster","Top"
"Jinx",52.72,3120,2.53,208.46,11913,"Grandmaster","Bot"
"Zed",52.66,638,2.56,177.46,11716,"Grandmaster","Mid"
"Darius",52.65,340,1.86,189.39,11269,"Grandmaster","Top"
"Kayle",52.63,475,2.24,221.58,12156,"Grandmaster","Top"
"Riven",52.6,808,2.14,197.99,11479,"Grandmaster","Top"
"Aatrox",52.56,839,2.02,181.8,10878,"Grandmaster","Top"
"Hecarim",52.55,942,3.31,168.44,11546,"Grandmaster","Jungle"
"Pyke",52.37,1096,2.38,44.69,10117,"Grandmaster","Support"
"Karma",52.18,1901,3.06,43.07,8079,"Grandmaster","Support"
"Fizz",52.17,161,2,172.12,10922,"Grandmaster","Mid"
"Jhin",52.14,2704,3.2,195.69,11585,"Grandmaster","Bot"
"Lucian",52.02,494,2.2,200.38,11772,"Grandmaster","Bot"
"Camille",51.94,670,1.93,175.15,11118,"Grandmaster","Top"
"LeBlanc",51.91,601,2.9,159.66,10603,"Grandmaster","Mid"
"Irelia",51.75,914,1.66,220,12311,"Grandmaster","Top"
"Tryndamere",51.75,715,2.19,209.01,12193,"Grandmaster","Top"
"Nautilus",51.74,949,2.38,32.62,7230,"Grandmaster","Support"
"Xin Zhao",51.72,1224,2.61,150.14,10760,"Grandmaster","Jungle"
"Sylas",51.72,785,2.26,161.26,10595,"Grandmaster","Mid"
"Nasus",51.7,147,2.34,188.95,11303,"Grandmaster","Top"
"Blitzcrank",51.6,469,2.41,30.51,7450,"Grandmaster","Support"
"Kai'Sa",51.41,780,2.59,203.04,12226,"Grandmaster","Bot"
"Jax",51.38,545,1.61,192.15,11599,"Grandmaster","Top"
"Séraphine",51.35,444,2.71,145.58,9751,"Grandmaster","Support"
"Jayce",51.26,950,1.76,203.19,11922,"Grandmaster","Top"
"Twisted Fate",51.25,359,2.53,172.47,11096,"Grandmaster","Mid"
"Lux",51.24,523,2.68,64.43,8952,"Grandmaster","Mid"
"Malzahar",51.23,162,2.22,189.68,10882,"Grandmaster","Mid"
"Vladimir",51.14,438,2.33,200.54,11108,"Grandmaster","Mid"
"Lulu",51.1,1227,3.15,19.32,7397,"Grandmaster","Support"
"Sona",51.09,552,2.73,15.93,7584,"Grandmaster","Support"
"Graves",50.95,1364,2.28,205.81,11883,"Grandmaster","Jungle"
"Cassiopeia",50.82,244,1.98,195.73,11568,"Grandmaster","Mid"
"Caitlyn",50.76,851,2.29,202.65,11868,"Grandmaster","Bot"
"Viktor",50.75,1072,2.26,208.77,11664,"Grandmaster","Mid"
"Ashe",50.69,144,2.38,182.18,11337,"Grandmaster","Bot"
"Syndra",50.65,614,2.27,194.51,10989,"Grandmaster","Mid"
"Volibear",50.54,465,2.67,147.19,10435,"Grandmaster","Jungle"
"Maître Yi",50.54,186,2.19,146.56,11342,"Grandmaster","Jungle"
"Yorick",50.53,188,1.65,216.67,11577,"Grandmaster","Top"
"Karthus",50.52,483,2.12,196.22,12250,"Grandmaster","Jungle"
"Malphite",50.35,286,2.27,150.74,9398,"Grandmaster","Top"
"Sion",50.18,283,1.56,195.67,10875,"Grandmaster","Top"
"Lee Sin",50.15,1996,3.07,148.08,11070,"Grandmaster","Jungle"
