"champion","winrate","nb_game","kd_rate","nb_kill_mobs","gold","ligue","role"
"Caitlyn",44.84,23981,1.82,146.08,10707,"Iron","Bot"
"Zoé",44.84,3243,1.97,107.93,9580,"Iron","Mid"
"Evelynn",44.79,5481,2.01,123.08,10779,"Iron","Jungle"
"Bard",44.71,2062,2.26,31.01,8294,"Iron","Support"
"Kindred",44.69,5673,1.67,141.27,11053,"Iron","Jungle"
"Nidalee",44.57,2872,1.83,101.61,9986,"Iron","Jungle"
"Jayce",44.3,4334,1.68,147.87,11089,"Iron","Top"
"Lissandra",44.25,1417,1.89,128.26,10076,"Iron","Mid"
"Gnar",44.19,3139,1.62,138.29,10207,"Iron","Top"
"Aurelion Sol",44.13,1090,1.77,121.18,9695,"Iron","Mid"
"LeBlanc",44.08,4467,2.1,104.15,9560,"Iron","Mid"
"Zed",44.07,12034,1.83,136.78,11045,"Iron","Mid"
"Sylas",44.07,10373,1.68,106.62,9911,"Iron","Mid"
"Elise",44.05,1151,1.77,113.67,10136,"Iron","Jungle"
"Gangplank",43.85,3512,1.66,165.29,12038,"Iron","Top"
"Gwen",43.77,8737,1.54,145.08,10485,"Iron","Top"
"Talon",43.76,5553,1.71,136.3,10925,"Iron","Mid"
"Olaf",43.7,3030,1.6,134.35,10446,"Iron","Jungle"
"Rengar",43.62,3945,1.67,133.51,11393,"Iron","Jungle"
"Riven",43.5,3869,1.57,139.86,10403,"Iron","Top"
"Vladimir",43.48,2486,1.82,138.35,10330,"Iron","Mid"
"Thresh",43.38,7223,1.92,37.15,7766,"Iron","Support"
"Udyr",43.37,2285,1.74,146.51,10689,"Iron","Jungle"
"Karma",43.24,4540,2.05,38.51,8282,"Iron","Support"
"Ivern",42.83,934,2.04,111.55,9182,"Iron","Jungle"
"Azir",42.8,1014,1.44,135.85,9872,"Iron","Mid"
"Gragas",42.47,2517,1.75,116.55,9458,"Iron","Top"
"Aatrox",42.37,3972,1.48,134.21,9957,"Iron","Top"
"Soraka",42.29,10536,1.92,14.79,6900,"Iron","Support"
"Fiddlesticks",42.04,3975,1.83,135.19,10176,"Iron","Jungle"
"Twisted Fate",41.71,2213,1.47,120.03,10112,"Iron","Mid"
"Rek'Sai",41.63,1326,1.58,121.51,10281,"Iron","Jungle"
"Lee Sin",41.53,11524,1.85,127.18,10515,"Iron","Jungle"
"Taric",41.29,1957,1.84,29.5,6932,"Iron","Support"
"Yuumi",40.51,18627,3.4,5.42,7007,"Iron","Support"
"Ryze",38.52,3354,1.58,151.65,10055,"Iron","Mid"
"Yorick",53.15,49109,1.7,184.96,12042,"Bronze","Top"
"Urgot",52.92,67909,1.97,187.68,12544,"Bronze","Top"
"Dr. Mundo",52.85,73507,2.39,169.09,11424,"Bronze","Top"
"Garen",52.49,135503,2.19,177.7,12321,"Bronze","Top"
"Maître Yi",51.97,136782,1.9,160.43,12609,"Bronze","Jungle"
"Zyra",51.92,69475,2.1,63.21,9937,"Bronze","Support"
"Trundle",51.82,82425,2.25,154.05,11764,"Bronze","Jungle"
"Zac",51.78,34864,3.23,133.59,10739,"Bronze","Jungle"
"Sona",51.63,40061,2.81,18.72,8366,"Bronze","Support"
"Brand",51.58,104865,1.88,73.05,10495,"Bronze","Support"
"Miss Fortune",51.36,210965,2.3,167.41,12184,"Bronze","Bot"
"Amumu",51.3,68176,2.45,137.36,10753,"Bronze","Jungle"
"Ziggs",51.26,33768,2.32,161.39,11440,"Bronze","Mid"
"Nasus",51.24,85074,2.03,166.98,11650,"Bronze","Top"
"Blitzcrank",51.15,87008,2.39,33.52,8098,"Bronze","Support"
"Veigar",51.02,142610,2.25,156.27,11709,"Bronze","Mid"
"Sion",51.02,35955,1.65,179.29,11712,"Bronze","Top"
"Malzahar",50.97,48946,2.14,184.6,11992,"Bronze","Mid"
"Vi",50.9,83241,2.21,148.42,11564,"Bronze","Jungle"
"Rammus",50.9,28214,2.55,129.77,10656,"Bronze","Jungle"
"Shyvana",50.86,28983,2.25,177.32,12001,"Bronze","Jungle"
"Fizz",50.81,50833,2.37,138.42,11793,"Bronze","Mid"
"Kayle",50.6,50186,1.87,191.24,12125,"Bronze","Top"
"Swain",50.57,49431,2.26,57.59,10025,"Bronze","Support"
"Xerath",50.42,93080,2.57,93.69,10863,"Bronze","Mid"
"Vel'Koz",50.41,59791,2.26,99.63,10472,"Bronze","Mid"
"Singed",50.34,15547,1.81,164.68,11091,"Bronze","Top"
"Lillia",50.29,34861,2.25,167.02,11839,"Bronze","Jungle"
"Lux",50.27,309506,2.5,76.19,10010,"Bronze","Mid"
"Teemo",50.25,109055,1.72,164.33,11828,"Bronze","Top"
"Warwick",50.2,111119,2.1,135.78,11488,"Bronze","Jungle"
"Sivir",50.17,46215,2.38,184.94,11940,"Bronze","Bot"
"Nami",50.15,58595,2.96,13.7,8205,"Bronze","Support"
"Diana",50.14,149688,2.16,170.21,12184,"Bronze","Jungle"
"Jhin",50.04,176219,2.74,168.35,12129,"Bronze","Bot"
"Neeko",50,38109,2.15,120.27,10476,"Bronze","Mid"
"Sejuani",50,27812,2.77,145.37,10982,"Bronze","Jungle"
"Skarner",49.94,5385,2.5,138.54,10484,"Bronze","Jungle"
"Viktor",49.9,47165,2.18,170.37,11812,"Bronze","Mid"
"Morgana",49.89,152050,2.39,51.16,9411,"Bronze","Support"
"Shaco",49.88,82058,2.47,130.1,11600,"Bronze","Jungle"
"Ornn",49.88,34073,2.2,153.64,10425,"Bronze","Top"
"Heimerdinger",49.84,25339,1.73,152.19,11082,"Bronze","Mid"
"Volibear",49.82,83190,2.15,147.06,11204,"Bronze","Jungle"
"Shen",49.8,49969,2.76,122.05,9917,"Bronze","Top"
"Rell",49.77,11061,2.29,33.88,8032,"Bronze","Support"
"Tristana",49.75,124883,2.2,169.19,12312,"Bronze","Bot"
"Zilean",49.74,24696,2.69,60.13,8927,"Bronze","Support"
"Mordekaiser",49.73,94894,1.87,159.24,11554,"Bronze","Top"
"Yasuo",49.71,166258,1.68,184.07,12376,"Bronze","Mid"
"Nunu et Willump",49.68,40610,2.6,135.26,10640,"Bronze","Jungle"
"Sett",49.66,100785,1.77,150.42,11388,"Bronze","Top"
"Illaoi",49.66,37308,1.53,182.46,11827,"Bronze","Top"
"Cho'Gath",49.6,45773,2.14,157.56,11310,"Bronze","Top"
"Maokai",49.6,12586,2.22,58.33,8745,"Bronze","Support"
"Yone",49.57,145898,1.78,174.41,12138,"Bronze","Mid"
"Cassiopeia",49.48,47736,1.95,165.18,11671,"Bronze","Mid"
"Ahri",49.45,107412,2.31,147.54,11006,"Bronze","Mid"
"Ekko",49.39,77643,2.27,153.73,11725,"Bronze","Mid"
