,saison,rank,champion,tot_win,tot_lose,avg_kills,avg_deaths,avg_assists,gold,nb_kill_mobs,max_kills,max_deaths,avg_dmg_dealt,avg_dmg_taken,dk,tk,qk,quintu
107,Saison 5,6,Lux,14V,8 D,8.0,4.0,8.3,"11,608",177.0(0.0),17,8,"130,552","12,130",18,5,,
108,Saison 5,7,Azir,12V,9 D,7.3,5.7,5.9,"11,698",177.9(0.0),21,12,"128,431","18,147",20,2,1,
109,Saison 5,8,Varus,10V,10 D,6.6,5.7,5.3,"10,786",186.8(0.0),19,12,"132,517","15,085",16,2,,
110,Saison 5,9,Akali,11V,6 D,10.,/5.,/4.,"11,754",155.9(0.0),19,11,"112,868","26,795",28,6,1,
111,Saison 5,10,Vladimir,7V,10 D,6.5,8.1,5.5,"11,593",182.2(0.0),13,16,"146,284","32,710",12,2,,
112,Saison 5,11,Draven,10V,6 D,8.4,5.3,7.3,"13,999",198.5(0.0),18,12,"172,822","20,313",18,4,1,
113,Saison 5,12,Janna,7V,9 D,0.8,4.0,13.,"8,312",14.4(0.0),3,9,"16,444","15,318",1,,,
114,Saison 5,13,Skarner,13V,2 D,4.9,4.1,14.,"11,839",39.9(0.0),11,9,"117,474","33,862",2,,,
115,Saison 5,14,Jinx,4V,11 D,5.8,5.7,5.6,"10,875",191.4(0.0),14,11,"134,928","16,152",11,,,
116,Saison 5,15,Pantheon,8V,6 D,7.9,5.5,8.8,"11,241",126.2(0.0),15,9,"109,174","20,362",7,1,,
117,Saison 5,16,Fizz,6V,7 D,9.2,6.1,5.2,"10,781",136.2(0.0),16,11,"88,328","20,391",15,3,1,
118,Saison 5,17,Cho'Gath,5V,8 D,5.5,5.2,4.9,"11,182",201.9(0.0),16,8,"147,935","29,390",4,1,,
119,Saison 5,18,Ezreal,6V,6 D,8.4,4.3,5.6,"12,175",191.3(0.0),21,9,"139,580","16,324",15,2,1,
120,Saison 5,19,Sivir,6V,5 D,8.5,5.5,10.,"14,574",236.0(0.0),17,8,"209,962","22,210",9,4,,
121,Saison 5,20,Irelia,6V,5 D,7.4,5.5,6.7,"11,790",184.6(0.0),20,12,"111,513","28,416",4,,,
122,Saison 5,21,Lissandra,3V,8 D,6.2,7.2,6.1,"10,870",168.9(0.0),16,12,"128,466","19,922",6,,,
123,Saison 5,22,Ziggs,6V,4 D,6.3,4.4,7.9,"11,265",194.8(0.0),11,7,"137,462","13,983",7,,,
124,Saison 5,23,Fiora,3V,7 D,6.4,5.6,4.0,"10,852",174.9(0.0),12,8,"121,359","27,109",5,2,1,
125,Saison 5,24,Twitch,4V,5 D,9.2,7.4,9.4,"13,047",180.6(0.0),16,13,"138,349","24,986",11,2,,
126,Saison 5,25,Veigar,3V,4 D,6.4,6.4,4.4,"10,580",180.4(0.0),11,10,"135,542","15,838",2,,,
127,Saison 5,26,Caitlyn,2V,4 D,5.5,6.7,6.2,"13,065",228.5(0.0),12,11,"175,964","19,984",4,1,,
128,Saison 5,27,Diana,3V,1 D,8.5,8.3,10.,"13,651",127.8(0.0),14,16,"167,117","25,341",3,,,
129,Saison 5,28,Trundle,2V,1 D,3.0,4.3,4.7,"10,402",180.3(0.0),4,7,"106,060","29,251",,,,
130,Saison 5,29,Ryze,2V,1 D,7.0,3.0,6.3,"10,511",168.3(0.0),11,5,"108,135","15,848",,,,
131,Saison 5,30,Viktor,2V,1 D,8.3,5.0,9.3,"12,193",179.7(0.0),14,7,"128,401","17,318",3,2,1,
132,Saison 5,31,Alistar,0,3 D,1.7,6.3,11.,"7,671",36.7(0.0),4,7,"22,740","25,021",,,,
133,Saison 5,32,Anivia,2V,0,11.,/2.,/8.,"12,670",190.5(0.0),14,4,"146,202","17,822",3,,,
134,Saison 5,33,Graves,1V,1 D,8.5,7.5,9.0,"16,622",253.5(0.0),13,8,"219,992","30,177",2,,,
135,Saison 5,34,Morgana,0,2 D,1.0,5.5,11.,"9,873",22.5(0.0),2,6,"27,913","16,801",1,,,
136,Saison 5,35,Kog'Maw,0,2 D,1.0,4.5,2.0,"8,562",190.5(0.0),2,6,"125,772","15,676",,,,
137,Saison 5,36,Syndra,0,2 D,8.5,5.5,5.0,"15,620",223.5(0.0),10,7,"177,433","23,785",4,,,
138,Saison 5,37,Blitzcrank,1V,0,1.0,3.0,8.0,"7,599",44.0(0.0),1,3,"28,526","13,693",,,,
139,Saison 5,38,Wukong,1V,0,9.0,5.0,7.0,"13,830",62.0(0.0),9,5,"178,211","30,325",1,,,
140,Saison 5,39,Karthus,1V,0,9.0,7.0,7.0,"15,275",225.0(0.0),9,7,"170,487","29,267",2,,,
141,Saison 5,40,Talon,1V,0,11.,/2.,/0.,"10,322",155.0(0.0),11,2,"110,514","14,629",2,,,
142,Saison 5,41,Maître Yi,0,1 D,5.0,3.0,4.0,"7,238",37.0(0.0),5,3,"83,713","17,021",,,,
143,Saison 5,42,Heimerdinger,0,1 D,1.0,5.0,6.0,"8,418",196.0(0.0),1,5,"110,410","13,414",,,,
144,Saison 5,43,Lee Sin,0,1 D,10.,/4.,/5.,"9,679",22.0(0.0),10,4,"79,115","21,165",1,,,
145,Saison 5,44,Ekko,0,1 D,4.0,7.0,0.0,"5,102",57.0(0.0),4,7,"23,857","11,552",,,,
146,Saison 5,45,Rengar,0,1 D,14.,/11,0/5,"13,412",30.0(0.0),14,11,"136,220","35,680",5,,,
147,Saison 5,46,Soraka,0,1 D,1.0,7.0,24.,"10,723",28.0(0.0),1,7,"28,085","19,173",,,,
148,Saison 5,47,Tryndamere,0,1 D,10.,/6.,/3.,"14,494",263.0(0.0),10,6,"205,890","44,987",2,,,
149,Saison 6,1,Ezreal,99V,82 D,6.5,4.5,6.7,"12,043",188.9(0.0),21,10,"128,721","16,060",154,16,2,
150,Saison 6,2,Lux,93V,62 D,7.3,4.2,7.7,"12,647",193.4(0.0),21,12,"142,483","12,855",97,13,3,
151,Saison 6,3,Ziggs,63V,37 D,7.2,4.7,6.9,"13,314",214.6(0.0),19,14,"190,883","16,065",74,11,,
152,Saison 6,4,Azir,37V,43 D,6.3,5.2,6.2,"12,214",201.6(0.0),23,11,"142,231","18,690",54,14,3,
153,Saison 6,5,Corki,33V,24 D,6.7,4.0,6.3,"12,096",187.6(0.0),17,11,"134,082","17,199",46,9,,
154,Saison 6,6,Twisted Fate,23V,25 D,7.0,4.9,7.1,"12,297",176.2(0.0),17,11,"129,233","17,798",33,,,
155,Saison 6,7,Twitch,16V,17 D,6.2,6.8,6.0,"11,823",175.3(0.0),14,13,"113,844","18,986",18,2,,
156,Saison 6,8,Viktor,13V,14 D,7.6,5.9,5.7,"12,992",209.4(0.0),19,11,"163,691","18,078",17,3,1,
157,Saison 6,9,Cassiopeia,8V,14 D,5.4,4.7,4.8,"10,875",179.3(0.0),12,11,"107,585","18,021",14,2,,
158,Saison 6,10,Jinx,9V,11 D,4.4,5.9,5.8,"10,632",173.3(0.0),12,12,"115,561","16,151",13,4,,
159,Saison 6,11,Brand,8V,9 D,5.6,6.3,6.7,"10,663",123.9(0.0),15,10,"82,360","17,694",7,,,
160,Saison 6,12,Veigar,7V,10 D,8.6,5.6,5.6,"13,047",214.3(0.0),20,10,"169,921","17,697",10,,,
161,Saison 6,13,Singed,9V,7 D,3.3,6.5,10.,"12,567",216.5(0.0),6,11,"129,335","34,861",3,1,,
162,Saison 6,14,Orianna,2V,10 D,7.5,5.7,6.1,"12,843",201.3(0.0),13,11,"146,968","18,406",9,1,,
163,Saison 6,15,Skarner,7V,3 D,5.8,6.0,8.7,"12,882",46.7(0.0),14,9,"142,870","34,504",5,1,,
164,Saison 6,16,Caitlyn,2V,8 D,3.9,6.2,5.0,"10,469",181.9(0.0),11,12,"123,738","15,964",5,1,,
165,Saison 6,17,Kog'Maw,3V,6 D,7.8,5.2,7.1,"12,976",199.4(0.0),15,10,"133,467","19,757",9,2,,
166,Saison 6,18,Syndra,4V,4 D,6.1,5.6,6.3,"12,778",210.9(0.0),8,8,"154,865","17,165",2,,,
167,Saison 6,19,Vladimir,3V,3 D,6.0,6.7,7.7,"13,740",224.7(0.0),10,9,"156,881","36,328",4,1,,
168,Saison 6,20,Ivern,3V,2 D,7.2,6.4,16.,"14,333",51.6(0.0),10,9,"490,257","30,613",3,,,
169,Saison 6,21,Gangplank,2V,3 D,8.4,4.8,8.4,"16,441",261.8(0.0),12,8,"253,713","25,340",5,2,,
