,rank,champion,winrate,nb_game,kd_rate,nb_kill_mobs,gold
145,146,Jayce,47.4%,59086,1.85,195.12,12844
146,147,Karthus,47.24%,29174,2.24,197.59,13255
147,148,Kennen,47.22%,19724,2.04,171.59,11405
148,149,Gangplank,47.18%,110203,1.96,209.76,14091
149,150,LeBlanc,46.94%,54050,2.64,146.56,11199
150,151,Nidalee,46.83%,25838,2.5,149.39,11565
151,152,Renekton,46.52%,51712,1.83,198.14,12190
152,153,Olaf,46.47%,17083,2.11,171.02,12070
153,154,Gragas,46.33%,46095,2.29,149.95,10543
154,155,Twisted Fate,46.04%,38985,2.06,157.57,11470
155,156,Lee Sin,45.97%,152630,2.5,149.51,11599
156,157,Azir,44.98%,15669,2.0,189.91,11736
157,158,Aphelios,44.92%,65426,1.95,192.98,12233
158,159,Ryze,43.8%,35236,2.02,211.84,11960
